company_name,industry,symbol,series,isin_code,file_format
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,EQ,INE742F01042,json
Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT,EQ,INE021A01026,json
Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK,EQ,INE238A01034,json
Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO,EQ,INE917I01010,json
Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV,EQ,INE918I01018,json
Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE,EQ,INE296A01024,json
Bharti Airtel Ltd.,TELECOM,BHARTIARTL,EQ,INE397D01024,json
Bharat Petroleum Corporation Ltd.,ENERGY,BPCL,EQ,INE029A01011,json
Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA,EQ,INE216A01030,json
Cipla Ltd.,PHARMA,CIPLA,EQ,INE059A01026,json
Coal India Ltd.,METALS,COALINDIA,EQ,INE522F01014,json
Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY,EQ,INE089A01023,json
Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT,EQ,INE066A01013,json
GAIL (India) Ltd.,ENERGY,GAIL,EQ,INE129A01019,json
Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,GRASIM,EQ,INE047A01021,xlsx
HCL Technologies Ltd.,IT,HCLTECH,EQ,INE860A01027,xlsx
Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,HDFC,EQ,INE001A01036,xlsx
HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK,EQ,INE040A01034,xlsx
Hero MotoCorp Ltd.,AUTOMOBILE,HEROMOTOCO,EQ,INE158A01026,xlsx
Hindalco Industries Ltd.,METALS,HINDALCO,EQ,INE038A01020,xlsx
Hindustan Unilever Ltd.,CONSUMER GOODS,HINDUNILVR,EQ,INE030A01027,xlsx
ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK,EQ,INE090A01021,xlsx
IndusInd Bank Ltd.,FINANCIAL SERVICES,INDUSINDBK,EQ,INE095A01012,xlsx
Bharti Infratel Ltd.,TELECOM,INFRATEL,EQ,INE121J01017,xlsx
Infosys Ltd.,IT,INFY,EQ,INE009A01021,xlsx
Indian Oil Corporation Ltd.,ENERGY,IOC,EQ,INE242A01010,xlsx
ITC Ltd.,CONSUMER GOODS,ITC,EQ,INE154A01025,xlsx
JSW Steel Ltd.,METALS,JSWSTEEL,EQ,INE019A01038,xlsx
Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,KOTAKBANK,EQ,INE237A01028,xlsx
Larsen & Toubro Ltd.,CONSTRUCTION,LT,EQ,INE018A01030,xlsx
Mahindra & Mahindra Ltd.,AUTOMOBILE,MM,EQ,INE101A01026,xlsx
Maruti Suzuki India Ltd.,AUTOMOBILE,MARUTI,EQ,INE585B01010,xlsx
Nestle India Ltd.,CONSUMER GOODS,NESTLEIND,EQ,INE239A01016,csv
NTPC Ltd.,ENERGY,NTPC,EQ,INE733E01010,csv
Oil & Natural Gas Corporation Ltd.,ENERGY,ONGC,EQ,INE213A01029,csv
Power Grid Corporation of India Ltd.,ENERGY,POWERGRID,EQ,INE752E01010,csv
Reliance Industries Ltd.,ENERGY,RELIANCE,EQ,INE002A01018,csv
State Bank of India,FINANCIAL SERVICES,SBIN,EQ,INE062A01020,csv
Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,SHREECEM,EQ,INE070A01015,csv
Sun Pharmaceutical Industries Ltd.,PHARMA,SUNPHARMA,EQ,INE044A01036,csv
Tata Motors Ltd.,AUTOMOBILE,TATAMOTORS,EQ,INE155A01022,csv
Tata Steel Ltd.,METALS,TATASTEEL,EQ,INE081A01012,csv
Tata Consultancy Services Ltd.,IT,TCS,EQ,INE467B01029,csv
Tech Mahindra Ltd.,IT,TECHM,EQ,INE669C01036,csv
Titan Company Ltd.,CONSUMER GOODS,TITAN,EQ,INE280A01028,csv
UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,ULTRACEMCO,EQ,INE481G01011,csv
UPL Ltd.,FERTILISERS & PESTICIDES,UPL,EQ,INE628A01036,csv
Vedanta Ltd.,METALS,VEDL,EQ,INE205A01025,csv
Wipro Ltd.,IT,WIPRO,EQ,INE075A01022,csv
Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,ZEEL,EQ,INE256A01028,csv
